PARTITION_DATE,ACCESS_ID,COLLECTION_DATE,ONT_VENDOR,ONT_MODEL,ONT_VERSION,ONT_SERIAL_NUMBER,ONT_VERSION_HW,ONT_UP_TIME,TX_POWER_DS,RX_POWER_DS,TX_POWER_US,RX_POWER_US,ONT_STATE,OLT_STATE,ONT_TEMPERATURE,ONT_CURRENT,ONT_VOLTAGE,ATENUACION_DS,ATENUACION_US,LONG_BUCLE
2023-12-27,1101048468,2023-12-27 08:01:25,ASKY,RTF3507VW,R3507VWCL203,ASKY00248896,RTF3507VW,8 dias 20 horas 15 minutos,,-24.95,2.0,-22.8,IS,IS,64.0,27.0,3.3,26.95,,4405.0
2023-12-27,1101776384,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F36C24E,GPT-2741GNAC,15 dias 10 horas 59 minutos,,-20.92,3.1,-21.1,IS,IS,67.0,19.0,3.3,24.02,,2387.0
2023-12-27,1100757061,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC09400982,GPT-2541GNAC,23 dias 9 horas 32 minutos,,-21.62,2.9,-21.1,IS,IS,50.0,15.0,3.3,24.52,,3188.0
2023-12-27,1103132545,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY005C67CC,RTF8115VW,3 dias 12 horas 13 minutos,,-21.94,3.0,-18.3,IS,IS,43.0,15.0,3.3,24.94,,3561.0
2023-12-27,1101890940,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F3D34ED,GPT-2741GNAC,6 dias 18 horas 28 minutos,,-21.14,2.9,-21.1,IS,IS,52.0,14.0,3.3,24.04,,2621.0
2023-12-27,1103304365,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY005BFD68,RTF8115VW,7 dias 18 horas 27 minutos,,-23.02,2.7,-22.3,IS,IS,44.0,15.0,3.3,25.72,,2044.0
2023-12-27,1094478111,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F3778A2,GPT-2741GNAC,2 dias 22 horas 13 minutos,,-21.55,2.9,-18.3,IS,IS,58.0,17.0,3.3,24.45,,3508.0
2023-12-27,1094324109,2023-12-27 08:01:25,-1,,,MSTC0F341F40,,49710 dias 6 horas 28 minutos,,21474736.47,21474836.5,21474836.5,OOS,IS,2147483647.0,2147483647.0,2147483.6,100.03,,-1.0
2023-12-27,1101010719,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY0071E157,RTF8225VW,1 dias 0 horas 47 minutos,,-21.08,2.6,-19.8,IS,IS,43.0,13.0,3.2,23.68,,3576.0
2023-12-27,1103178493,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY002F2FA9,3505VW,25 dias 14 horas 21 minutos,,-16.31,1.9,-17.8,IS,IS,61.0,22.0,3.2,18.21,,3822.0
2023-12-27,1104213090,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F425F96,GPT-2741GNAC,15 dias 13 horas 37 minutos,,-18.19,3.4,-18.4,IS,IS,56.0,15.0,3.2,21.59,,1402.0
2023-12-27,1101648032,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC034E1665,GPT-2541GNAC,20 dias 12 horas 59 minutos,,-20.27,2.9,-18.2,IS,IS,54.0,18.0,3.3,23.17,,3752.0
2023-12-27,1102649658,2023-12-27 08:01:25,,,,,,,,,,,,,,,,,,
2023-12-27,1093385107,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC0348CE3C,GPT-2541GNAC,27 dias 13 horas 44 minutos,,-22.93,2.8,-23.5,IS,IS,35.0,12.0,3.3,25.73,,2551.0
2023-12-27,1100093820,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY004FBC0B,RTF8115VW,7 dias 9 horas 19 minutos,,-23.19,2.4,-20.9,IS,IS,44.0,10.0,3.3,25.59,,3410.0
2023-12-27,1101846772,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC3B8CD7E4,GPT-2541GNAC,22 dias 17 horas 13 minutos,,-26.03,2.9,-24.4,IS,IS,49.0,13.0,3.3,28.93,,4117.0
2023-12-27,1094568910,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC034D932C,GPT-2541GNAC,11 dias 18 horas 29 minutos,,-21.94,2.9,-19.8,IS,IS,36.0,14.0,3.3,24.84,,5909.0
2023-12-27,1104668813,2023-12-27 08:01:25,MSTC,GPT-2742GX4X5V6,100XNT0b1,MSTC8CAE6A58,GPT-2742GX4X5V,0 dias 14 horas 7 minutos,,-22.52,2.0,-16.5,IS,IS,38.0,12.0,3.3,24.52,,5940.0
2023-12-27,1102322380,2023-12-27 08:01:25,,,,,,,,,,,,,,,,,,
2023-12-27,1093149112,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC32FAFC9F,GPT-2541GNAC,30 dias 22 horas 54 minutos,,-19.55,2.8,-18.9,IS,IS,46.0,10.0,3.3,22.35,,2253.0
2023-12-27,1100003850,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY0063A857,RTF8115VW,26 dias 11 horas 4 minutos,,-26.58,2.2,-21.8,IS,IS,35.0,10.0,3.3,28.78,,5026.0
2023-12-27,1100907711,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0941BD8C,GPT-2741GNAC,4 dias 14 horas 0 minutos,,-20.51,2.6,-16.8,IS,IS,54.0,12.0,3.3,23.11,,5247.0
2023-12-27,1101850230,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC09486EFB,GPT-2741GNAC,13 dias 12 horas 29 minutos,,-21.81,2.6,-18.6,IS,IS,66.0,19.0,3.3,24.41,,5219.0
2023-12-27,1061011043,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC3B8CC424,GPT-2541GNAC,8 dias 8 horas 59 minutos,,-18.97,2.7,-16.7,IS,IS,47.0,15.0,3.3,21.67,,3430.0
